step,epoch,train_loss
49,3,0.3288019895553589
99,7,0.2674979269504547
149,11,0.3221001923084259
199,15,0.15512149035930634
249,19,0.15518058836460114
299,23,0.19937096536159515
349,26,0.13851845264434814
